FONDO;CONCURSO;ANIO;CONTRATO;TITULO;FECHA_INICIO;FECHA_FIN;NOMBRE_SOLICITANTE;DISTRITO;PROVINCIA;DEPARTAMENTO;UBIGEO;MONTO_RNR;MONTO_FINANCIERO;MONTO_NO_FINANCIERO;MONEDA;FECHA_CORTE;;;;
FINCYT I;PITEI;2008;032-FINCYT-PITEI-2008;"PORTAL WEB ENVOLTA\ - CONSTRUYE MEJOR\""""";20080428;20090128;EVOLTA S.A.C.;MIRAFLORES;LIMA;LIMA;150122;317148.82;0;325684.18;SOLES;20230706;;;;
FINCYT I;PITEI;2008;029-FINCYT-PITEI-2008;DESARROLLO DE UN PRODUCTO TECNOLOGICO PARA CALL CENTERS PEQUEÃ‘OS Y MEDIANOS;20080513;20101212;INFO XXI S.A.C.;SANTIAGO DE SURCO;LIMA;LIMA;150140;261260;25330;79540.28;SOLES;20230706;;;;
FINCYT I;PITEI;2008;033-FINCYT-PITEI-2008;PLATAFORMA DE OPERACIONES ON LINE  PARA MICROFINANCIERAS;20080530;20130209;GLOBAL SYSTEM & CONSULTING SAC.;AREQUIPA;AREQUIPA;AREQUIPA;40101;107747.14;0;42501;SOLES;20230706;;;;
FINCYT I;PITEI;2008;039-FINCYT-PITEI-2008;SISTEMA INTEGRADO DE INFORMACIÃ“N BASE PARA LA GESTION MUNICIPAL;20080722;20101027;F & S CONSULTORIA Y SISTEMAS SRL.;BREÃ‘A;LIMA;LIMA;150105;313458.72;10030.99;117855;SOLES;20230706;;;;
FINCYT I;PITEI;2008;041-FINCYT-PITEI-2008;INTRODUCCION INVITRO DE DOS ESPECIES FORESTALES MADERABLES PARA SU PROPAGACION MASIVA CON FINES DE ESTABLECIMIENTO DE PLANTACIONES COMERCIALES EN LA AMAZONIA PERUANA.;20081006;20110514;BOSQUES AMAZONICOS  S.A.C.;YARINACOCHA;CORONEL PORTILLO;UCAYALI;250105;282672;0;90989;SOLES;20230706;;;;
FINCYT I;PITEI;2008;074-FINCYT-PITEI-2008;ESTUDIO COMPARATIVO SOBRE LA ADAPTACION DE TRES VARIEDADES DE UVA DE MESA SIN SEMILLA A LAS CONDICIONES ECOLOGICAS DE LA REGION PIURA Y DETERMINACIÃ“N DEL CICLO DE PRODUCCIÃ“N ADECUADO BASADO EN LAS CONDICIONES DEL MERCADO INTERNACIONAL;20081006;20101205;ECO - ACUICOLA SOCIEDAD ANONIMA CERRADA;CASTILLA;PIURA;PIURA;200104;269300;86813.6;104912.93;SOLES;20230706;;;;
FINCYT I;PITEI;2009;039-FINCYT-PITEI-2009;IDENTIFICACIÃ“N DE UN HIBRIDO DE STEVIA SP CON MAYOR CONCENTRACIÃ“N DE GLUCIDOS TOTALES Y REBAUDIOCIDOS A DEL CULTIVAR DEL FUNDO AMERICA EN SANTA RITA DE SIGUAS (AQP) PARA SU PROPAGACIÃ“N A ESCALA COMERCIAL;20090313;20121215;FUNDO AMERICA SAC.;AREQUIPA;AREQUIPA;AREQUIPA;40101;42908.19;17136.9;18306.8;SOLES;20230706;;;;
FINCYT I;PITEI;2009;018-FINCYT-PITEI-2009;"FABRICACIÃ“N DEL PRODUCTO PROTOTIPO \PANQUEQUE DE FIBRA DE ALPACA\"" A PARTIR DE LA INNOVACIÃ“N TECNOLOGICA EN LA FABRICACIÃ“N DE UNA MAQUINA PROTOTIPO \""PANQUEQUERA DE FIBRA DE ALPACA\""""";20090204;20110627;AYLLU CRAFTSMAN PERU S.A.C.;LA MOLINA;LIMA;LIMA;150114;209363.9;47354.1;36000;SOLES;20230706;;;;
FINCYT I;PITEI;2008;069-FINCYT-PITEI-2008;REPRODUCCION EN CAUTIVERIO DE CARACHAMAS (LORICARIIDAE SP.) EN LA REGION LORETO;20081103;20111229;AQUARIUM RIO MOMON S.R.LTDA;IQUITOS;MAYNAS;LORETO;160101;246017.5;2400;59608;SOLES;20230706;;;;
FINCYT I;PITEI;2008;070-FINCYT-PITEI-2008;MARICULTURA ALGAL: DESARROLLO DEL CULTIVODEL ALGA PARDA MACROSYSTIS SPP (KELP) PARA LA PRODUCCION DE AGLUTINANTE ORGANICO UTILIZADO EN LA ELABORACION DE ALIMENTO BALANCEADO PARA ACUICULTURA.;20081001;20110530;PERUVIAN SEAWEEDS SRL;LURIN;LIMA;LIMA;150119;269252.39;47097.61;104608;SOLES;20230706;;;;
